0,0,56,105,18,80,105,18,110,105,18,150,105,18,-56,105,18,-80,105,18,-110,105,18,-150,105,18,150,0,-110,-69,-45,-69,-45,-45,-69,-45,-69,0,0,0
2.4,0,68,123,18,66,105,18,117,105,18,138,129,18,-44,87,18,-92,105,18,-98,105,18,-162,81,18,150,0,-110,-45,-45,-45,-45,-45,-45,-45,-45,0,-0.8400000000000001,0
0,0,56,105,18,78,105,18,105,105,18,150,105,18,-56,105,18,-80,105,18,-110,105,18,-150,105,18,150,0,-110,-45,-69,-45,-69,-69,-45,-69,-45,0,-1.48,0
-2.4,0,44,87,18,90,105,18,93,105,18,162,81,18,-68,123,18,-68,105,18,-122,105,18,-138,129,18,150,0,-110,-45,-45,-45,-45,-45,-45,-45,-45,0,-2.3200000000000003,0
0,0,56,105,18,78,105,18,105,105,18,150,105,18,-56,105,18,-80,105,18,-110,105,18,-150,105,18,150,0,-110,-69,-45,-69,-45,-45,-69,-45,-69,0,-2.920000000000001,0
2.4,0,68,123,18,66,105,18,117,105,18,138,129,18,-44,87,18,-92,105,18,-98,105,18,-162,81,18,150,0,-110,-45,-45,-45,-45,-45,-45,-45,-45,0,-3.7600000000000016,0
0,0,56,105,18,78,105,18,105,105,18,150,105,18,-56,105,18,-80,105,18,-110,105,18,-150,105,18,150,0,-110,-45,-69,-45,-69,-69,-45,-69,-45,0,-4.360000000000002,0
-2.4,0,44,87,18,90,105,18,93,105,18,162,81,18,-68,123,18,-68,105,18,-122,105,18,-138,129,18,150,0,-110,-45,-45,-45,-45,-45,-45,-45,-45,0,-5.200000000000003,0
0,0,56,105,18,78,105,18,105,105,18,150,105,18,-56,105,18,-80,105,18,-110,105,18,-150,105,18,150,0,-110,-69,-45,-69,-45,-45,-69,-45,-69,0,-5.800000000000003,0
2.4,0,68,123,18,66,105,18,117,105,18,138,129,18,-44,87,18,-92,105,18,-98,105,18,-162,81,18,150,0,-110,-45,-45,-45,-45,-45,-45,-45,-45,0,-6.640000000000004,0
0,0,56,105,18,78,105,18,105,105,18,150,105,18,-56,105,18,-80,105,18,-110,105,18,-150,105,18,150,0,-110,-45,-69,-45,-69,-69,-45,-69,-45,0,-7.240000000000005,0
-2.4,0,44,87,18,90,105,18,93,105,18,162,81,18,-68,123,18,-68,105,18,-122,105,18,-138,129,18,150,0,-110,-45,-45,-45,-45,-45,-45,-45,-45,0,-8.080000000000005,0
